query	doc_id	label
(Al-Onaizan and Knight 2002) showed that use of outside linguistic resources such as WWW counts of transliteration candidates can greatly boost transliteration accuracy.	[110]	[1]
(Brill, 1995) presents a rule-based part-of-speech tagger for unsupervised training corpus.	[132, 1, 21, 30, 0]	[1, 1, 1, 1, 1]
(Briscoe and Carroll, 1997) observe that in the work of (Brent, 1993), (Manning, 1993) and (Ushioda et al, 1993), the maximum number of distinct subcategorization classes recognized is sixteen, and only Ushioda et al attempt to derive relative subcategorization frequency for individual predicates.	[117, 213, 83, 217]	[1, 1, 1, 1]
(Chambers and Jurafsky, 2011) (Poon and Domingos, 2010) (Chen et al 2011) focus on extracting frame-like structures (Baker et al 1998) by defining two types of clusters, event clusters and role clusters.	[11, 103]	[1, 1]
(Cherry, 2008) and (Marton and Resnik, 2008) introduce syntactic constraints into the standard phrase-based decoding (Koehn et al, 2003) and hierarchical phrase-based decoding (Chiang, 2005) respectively by using a counting feature which accumulates whenever hypotheses violate syntactic boundaries of source-side parse trees.	[103, 0]	[1, 1]
(Gale and Church, 1991) has used the ?2 statistics as the correspondence level of the word pairs and has showed that it was more effective than the mutual information.	[101, 199]	[1, 1]
(Henderson and Brill, 1999) and (Sagae and Lavie, 2006) propose methods for parse hybridization by recombining constituents.	[44]	[1]
(Kessler et al, 1997) combine these views by saying that a genre should not be so broad that the texts belonging to it don't share any distinguishing properties.	[24]	[1]
(Kozareva et al, 2008) proposed the use of a doubly-anchored hyponym pattern and a graph to represent the links between hyponym occurrences in these patterns.	[22, 56]	[1, 1]
(McRoy, 1992) was one of the first to use multiple kinds of features for word sense disambiguation in the semantic interpretation system, TRUMP.	[0]	[1]
(Merialdo, 1994): In the context of POS tagging, the author introduces a method that he calls maximum likelihood tagging.	[28]	[1]
(Since we used Isozaki's methods (Isozaki and Kazawa, 2002), the run-time complexity is not a problem.) Kudo and Matsumoto (2002) proposed an SVM-based Dependency Analyzer for Japanese sentences.	[39]	[1]
(Stolcke et al., 2000) use HMMs for dialogue modelling, where sequences of observations correspond to sequences of dialogue act types.They also explore the performance with decision trees and neural networks and report their highest accuracy at 65% on the Switchboard corpus.	[5]	[1]
(Tetreault and Chodorow, 2008b) challenged the view that using one rater is adequate by showing that preposition usage errors actually do not have high inter-annotator reliability.	[141, 214]	[1, 1]
(Zhao et al, 2004) constructed specific language models by using machine translation output as queries to extract similar sentences from large monolingual corpora.	[2, 125, 25]	[1, 1, 1]
19.6% of the sentences in the corpus contain non-projective edges and 1.8% of the edges are non-projective, which is almost 5 times more frequent than in English and is the same as the Czech non-projectivity level (Buchholz and Marsi, 2006).	[159]	[1]
A Feature based TAG (FTAG, (Vijay-Shanker and Joshi,1988)) consists of a set of (auxiliary or initial) elementary trees and of two tree composition operations: substitution and adjunction.	[20, 48]	[1, 1]
"A Gaussian prior also handles the problem of ""pseudo-maximal"" features (Johnson et al, 1999)."	[95]	[1]
A benchmark dataset of 27,937 such quadruples was extracted from the Wall Street Journal corpus by Ratnaparkhi et al (1994) and has been the basis of many subsequent studies comparing machine learning algorithms and lexical resources.	[87]	[1]
A comparison of the ITG constraints and the IBM constraints for single-word based models can be found in (Zens and Ney, 2003).	[199, 34, 26, 85]	[1, 1, 1, 1]
A complete description on WMT-07 evaluation campaign and dataset is available in Callison-Burch et al (2007).	[107]	[1]
A current project at the University of Pennsylvania and the Children's Hospital of Philadelphia (Kulick et al 2004) is producing a corpus that follows many of these basic principles.	[10]	[1]
A first major algorithmic approach is to represent word contexts as vectors in some space and use similarity measures and automatic clustering in that space (Curran and Moens, 2002).	[15]	[1]
A hybrid approach is presented in (Gale and Church, 1993) whose basic hypothesis is that longer sentences in one language tend to be translated into longer sentences in the other language, and shorter sentences tend to be translated into shorter sentences.	[4, 18, 90, 115, 312, 2, 16, 185]	[1, 1, 1, 1, 1, 1, 1, 1]
A morphological analysis of the Arabic text is then done using the Arabic morphological analyzer and disambiguation tool MADA (Nizar Habash and Roth, 2009), with the MADA-D2 since it seems to be the most efficient scheme for large data (Habash and Sadat, 2006).	[61, 3, 30]	[1, 1, 1]
