query	doc_id	label	similiarity
(6) Similarly to (Collins and Singer, 1999) we used T= 0.95 for all experiments reported here	[8]	[1]	[0.30149969458580017]
(Collins and Singer, 1999) also makes use of competing categories (person, organization, and location), which cover 96% of all the instances it set out to classify	[236, 77]	[1, 1]	[0.3569067418575287, 0.616096556186676]
(Collins and Singer, 1999) further extend the use of classifiers that have mutual constraints by adding terms to AdaBoost which force the classifiers to agree (called Co Boosting)	[174]	[1]	[0.6670234799385071]
(Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers	[14]	[1]	[0.6541249752044678]
(Mimno et al, 2009) retrieve a list of potential translations simply by selecting a small number N of the most probable words in both languages and then add the Cartesian product of these sets for every topic to a set of candidate translations	[138, 137]	[1, 1]	[0.7358859181404114, 0.6599298119544983]
A good example of this is the Roark parser (Roark, 2001) which works left-to-right through the sentence, and abjures dynamic programming in favor of a beam search, keeping some large number of possibilities to extend by adding the next word, and then re-pruning	[297]	[1]	[0.3383517265319824]
A study that is closely related to ours is (Goldberg and Tsarfaty, 2008), where a single generative model was proposed for joint morphological segmentation and syntactic parsing for Hebrew	[0, 3, 19]	[1, 1, 1]	[0.7819351553916931, 0.5205855965614319, 0.40364977717399597]
A successful application of voting and of a stacked classifier to constituent parsing followed in (Henderson and Brill, 1999)	[23]	[1]	[0.4447799026966095]
Although the parser only derives projective graphs, the fact that these graphs are labeled allows non-projective dependencies to be captured using the pseudo-projective approach of Nivre and Nilsson (2005) (section 3.4)	[104, 62]	[1, 1]	[0.3710017502307892, 0.4211072325706482]
Applications have ranged from domain adaptation of part-of-speech (POS) taggers (Subramanya et al, 2010), unsupervised learning of POS taggers by using bilingual graph-based projections (Das and Petrov, 2011), and shallow semantic parsing for unknown predicates (Das and Smith,2011)	[0, 6, 18]	[1, 1, 1]	[0.7429075837135315, 0.3483634889125824, 0.585088849067688]
As a benchmark VPC extraction system, we use the Charniak parser (Charniak, 2000)	[19]	[1]	[0.5473663806915283]
As described in (McDonald et al, 2006), we treat the labeling of dependencies as a sequence labeling problem	[20, 2]	[1, 1]	[0.6195527911186218, 0.3070179522037506]
As described in Ng and Low (2004) and Jiang et al (2008), we use s indicating a single character word, while b, m and e indicating the be gin, middle and end of a word respectively	[25]	[1]	[0.3934824764728546]
As explained in Section 2.2, ASR is performed using the method of McCarthy et al (2004)	[133, 29, 175]	[1, 1, 1]	[0.539324164390564, 0.41983985900878906, 0.6648014187812805]
As in (Foster et al, 2010), this approach works at the level of phrase pairs	[23]	[1]	[0.5941380858421326]
At each word in the string, the Roark (2001) top-down parser provides access to the weighted set of partial analyses in the beam; the set of complete derivations consistent with these is not immediately accessible, hence additional work is required to calculate such measures	[310, 72]	[1, 1]	[0.4695935547351837, 0.6679872274398804]
Bengoetxea and Gojenola (2010) discuss non-projective dependencies in Basque and show that the pseudo-projective transformation of (Nivre and Nilsson, 2005) improves accuracy for dependency parsing of Basque	[0]	[1]	[0.6692531108856201]
But equally important is the fact that this new DOP* model does not suffer from a decrease in parse accuracy if larger subtrees are included, whereas the original DOP model needs to be redressed by a correction factor to maintain this property (Bod 2003)	[86, 82, 0, 139]	[1, 1, 1, 1]	[0.6265765428543091, 0.5921627283096313, 0.6804009675979614, 0.37158122658729553]
By this result, CCG falls in line with context-free grammars, TAG, and LCFRS, whose sets of derivational structures are all regular (Vijay-Shanker et al., 1987)	[204]	[1]	[0.4138915240764618]
Callison-Burch et al (2006) and Koehn and Monz (2006), for example, study situations where BLEU strongly disagrees with human judgment of translation quality	[39, 140]	[1, 1]	[0.7356096506118774, 0.6824992895126343]
Clarke et al (2010) and Liang et al (2011) describe approaches for learning semantic parsers from questions paired with database answers, while Goldwasser et al (2011) presents work on unsupervised learning	[132, 0]	[1, 1]	[0.568755567073822, 0.5997072458267212]
Clarke et al (2010) and Liang et al (2011) replace semantic annotations in the training set with target answers which are more easily available	[9, 132]	[1, 1]	[0.41605308651924133, 0.5538363456726074]
Clarke et al (2010) and Liang et al (2011) trained systems on question and answer pairs by automatically finding semantic interpretations of the questions that would generate the correct answers	[132, 9]	[1, 1]	[0.6693496108055115, 0.38385745882987976]
Co-Training has been used before in applications like word-sense disambiguation (Yarowsky, 1995), web-page classification (Blum and Mitchell, 1998) and named entity identification (Collins and Singer, 1999)	[0]	[1]	[0.6957683563232422]
Collins and Singer (1999) for example report that 88% of the named entities occurring in their data set belong to these three categories (Collins and Singer, 1999)	[0]	[1]	[0.6943890452384949]
Collins et al (Collins and Singer, 1999) proposed two algorithms for NER by modifying Yarowsky's method (Yarowsky, 1995) and the framework suggested by (Blum and Mitchell, 1998)	[6, 5, 27]	[1, 1, 1]	[0.6865419745445251, 0.487353652715683, 0.5108407735824585]
DCS trees has been proposed to represent natural language semantics with a structure similar to dependency trees (Liang et al, 2011) (Figure 1)	[94]	[1]	[0.5293984413146973]
DD-ADMM may be useful in other frameworks involving logical constraints, such as the models for compositional semantics presented by Liang et al (2011)	[0]	[1]	[0.6963097453117371]
Dependency-based Compositional Semantics (DCS) provides an intuitive way to model semantics of questions, by using simple dependency-like trees (Liang et al, 2011)	[0]	[1]	[0.7826398015022278]
Domain knowledge also has the potential to improve open-text applications such as summarization (Ceylan et al 2010) and machine translation (Foster et al., 2010)	[0, 141]	[1, 1]	[0.5477021336555481, 0.5380094647407532]
Entries marked with are the highest reported in the literature, to the best of our knowledge, beating (sometimes slightly) McDonald et al (2006), Martins et al (2008), Martins et al (2009), and, in the case of English Proj., also the third-order parser of Koo and Collins (2010), which achieves 93.04% on that dataset (their experiments in Czech are not comparable, since the datasets are different)	[61, 104]	[1, 1]	[0.33583196997642517, 0.6159500479698181]
Evaluation results recently reported by Callison-Burch et al (2006) and Koehn and Monz (2006), revealed that, in certain cases, the BLEU metric may not be a reliable MTquality indicator	[39, 140]	[1, 1]	[0.736366331577301, 0.7007386684417725]
Even though McDonald et al (2006) and Nivre et al (2006) obtained very similar overall scores, a more detailed look at their performance shows clear differences	[61, 58, 104]	[1, 1, 1]	[0.47790756821632385, 0.48950836062431335, 0.6677553653717041]
Following Das and Petrov (2011) and Subramanya et al (2010), a similarity score between two trigram types was computed by measuring the cosine similarity between their empirical sentential context statistics	[47]	[1]	[0.6434229612350464]
Following Jiang et al (2008), we describe segmentation and Joint S& amp; T as below: For a given Chinese sentence appearing as a character sequence: C 1: n= C 1 C 2.	[37, 22, 9]	[1, 1, 1]	[0.4055480659008026, 0.48086264729499817, 0.5423983931541443]
Following this line, (Vijay-Shanker et al, 1987) have introduced a formalism called linear context-free rewriting systems (LCFRSs) that has received much attention in later years by the community	[207, 74]	[1, 1]	[0.3644959032535553, 0.39823609590530396]
For English language modeling, we use English Giga word Corpus with 5-gram LM using the KenLM toolkit (Heafield, 2011)	[0]	[1]	[0.4483976662158966]
For computing distance we used the L1-norm of the difference, which worked a bit better than the Jensen Shannon divergence between the topic vectors used in (Mimno et al, 2009)	[156]	[1]	[0.6473357081413269]
For example, Mitchell and Lapata (2008) use their models to approximate the human ratings in their sentence similarity dataset	[180]	[1]	[0.43928173184394836]
For handling non-projective relations, Nivre and Nilsson (2005) suggested applying a preprocessing step to a dependency parser, which consists in lifting non-projective arcs to their head repeatedly, until the tree becomes pseudo-projective	[37, 0]	[1, 1]	[0.329975962638855, 0.7289897799491882]
For instance, Callison-Burch et al (2006) and Koehn and Monz (2006) reported and analyzed several cases of strong disagreement between system rankings provided by human assessors and those produced by the BLEU metric (Papineni et al, 2001)	[39, 140]	[1, 1]	[0.735869824886322, 0.6560154557228088]
For language modeling, we computed 5-gram models using IRSTLM7 (Federico et al., 2008) and queried the model with KenLM (Heafield, 2011)	[0, 103]	[1, 1]	[0.656160295009613, 0.7502320408821106]
For our training and test data we used the English-French subset of the Europarl corpus provided for the shared task (Koehn and Monz, 2006) at the Statistical Machine Translation workshop held in conjunction with the 2006 HLT-NAACL conference	[9]	[1]	[0.6585484147071838]
For the bi text-based annotation, we use publicly available word alignments from the Europarl corpus, automatically generated by GIZA++ for FrenchEnglish (Fr), Spanish-English (Es) and German-English (De) (Koehn and Monz, 2006)	[9]	[1]	[0.4601458013057709]
For the language model, we used the KenLM toolkit (Heafield, 2011) to create a 5-gram language model on the target side of the Europarl corpus (v7) with approximately 54M tokens with KneserNey smoothing	[199, 0]	[1, 1]	[0.5226072669029236, 0.3814694583415985]
For the same reason, human evaluation metrics based on adequacy and fluency were not suitable either (Koehn and Monz, 2006)	[63, 175]	[1, 1]	[0.648357093334198, 0.6914828419685364]
For tree banks with non-projective trees we use the pseudo-projective parsing technique to transform the tree bank into projective structures (Nivre and Nilsson, 2005)	[0]	[1]	[0.7295390963554382]
Fortunately, some recently proposed POS taggers, such as the POS tagger of Das and Petrov (2011), rely only on labeled training data for English and the same kind of parallel text in our approach	[7]	[1]	[0.40374308824539185]
Foster et al (2010) do not mention what percentage of the corpus they select for their IR-baseline, but they concatenate the data to their in-domain corpus and report a decrease in performance	[42]	[1]	[0.31885722279548645]
Foster et al (2010) propose a similar method for machine translation that uses features to capture degrees of generality	[22]	[1]	[0.3839060366153717]
Foster et al (2010), however, uses a different approach to select related sentences from OUT	[31]	[1]	[0.5898616313934326]
Furthermore, we evaluate with both gold-standard part-of-speech tags, as well as predicted part-of speech tags from the projected part-of-speech tagger of Das and Petrov (2011). This tagger relies only on labeled training data for English, and achieves accuracies around 85% on the languages that we consider	[18, 0]	[1, 1]	[0.34639808535575867, 0.5955254435539246]
Goldberg and Tsarfaty (2008) concluded that an integrated model of morphological disambiguation and syntactic parsing in Hebrew Treebank parsing improves the results of a pipelined approach	[0]	[1]	[0.641827404499054]
Goldberg and Tsarfaty (2008) propose a generative joint model	[0, 3]	[1, 1]	[0.6126349568367004, 0.31086060404777527]
Goldberg and Tsarfaty (2008) showed that a single model for morphological segmentation and syntactic parsing of Hebrew yielded an error reduction of 12% over the best pipelined models	[4, 0]	[1, 1]	[0.5077032446861267, 0.7699936032295227]
Goldberg and Tsarfaty (2008) use a data-driven morphological analyzer derived from the tree bank	[134, 133]	[1, 1]	[0.6408745050430298, 0.33834418654441833]
Goodman's transform, in combination with a range of heuristics, allowed Bod (2003) to run the DOP model on the Penn Treebank WSJ benchmark and obtain some of the best results obtained with a generative model	[135]	[1]	[0.5628299117088318]
Henderson and Brill (1999) also reported that context did not help them to outperform simple voting	[84]	[1]	[0.3427291810512543]
Henderson and Brill (1999) combine three parsers and obtained an F1 score of 90.6, which is better than the score of 88.6 obtained by the best individual parser as reported in their paper	[120, 141, 112, 111]	[1, 1, 1, 1]	[0.5153560042381287, 0.30840209126472473, 0.5466679930686951, 0.3156823515892029]
Henderson and Brill (1999) showed that independent human research efforts produce parsers that can be combined for an overall boost in accuracy	[1]	[1]	[0.4744037389755249]
In (Collins and Singer, 1999) Collins and Singer show that unlabeled data can be used to reduce the level of supervision required for named entity classification	[18, 250, 0]	[1, 1, 1]	[0.6679747104644775, 0.5517463088035583, 0.739202618598938]
