query	doc_id	label
(6) Similarly to (Collins and Singer, 1999) we used T= 0.95 for all experiments reported here	[162]	[1]
(Collins and Singer, 1999) also makes use of competing categories (person, organization, and location), which cover 96% of all the instances it set out to classify	[10, 237, 236, 77]	[1, 1, 1, 1]
(Collins and Singer, 1999) further extend the use of classifiers that have mutual constraints by adding terms to AdaBoost which force the classifiers to agree (called Co Boosting)	[174, 247]	[1, 1]
(Henderson and Brill, 1999) and (Sagae and Lavie, 2006) propose methods for parse hybridization by recombining constituents	[16]	[1]
(Henderson and Brill, 1999) perform parse selection by maximizing the expected precision of the selected parse with respect to the set of parses being combined	[78, 35]	[1, 1]
(Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers	[14, 25]	[1, 1]
(Mimno et al, 2009) retrieve a list of potential translations simply by selecting a small number N of the most probable words in both languages and then add the Cartesian product of these sets for every topic to a set of candidate translations	[138, 137]	[1, 1]
A study that is closely related to ours is (Goldberg and Tsarfaty, 2008), where a single generative model was proposed for joint morphological segmentation and syntactic parsing for Hebrew	[0, 3, 19]	[1, 1, 1]
A successful application of voting and of a stacked classifier to constituent parsing followed in (Henderson and Brill, 1999)	[23]	[1]
Although the parser only derives projective graphs, the fact that these graphs are labeled allows non-projective dependencies to be captured using the pseudo-projective approach of Nivre and Nilsson (2005) (section 3.4)	[62]	[1]
And Mitchell and Lapata (2008) propose a model for vector composition, focusing on the different functions that might be used to combine the constituent vectors	[21]	[1]
Applications have ranged from domain adaptation of part-of-speech (POS) taggers (Subramanya et al, 2010), unsupervised learning of POS taggers by using bilingual graph-based projections (Das and Petrov, 2011), and shallow semantic parsing for unknown predicates (Das and Smith,2011)	[0, 18]	[1, 1]
As a benchmark VPC extraction system, we use the Charniak parser (Charniak, 2000)	[30, 19, 89]	[1, 1, 1]
As data we use version 2 of the Negra (Skut et al1997) tree bank, with the common training	[62]	[1]
As described in (McDonald et al, 2006), we treat the labeling of dependencies as a sequence labeling problem	[20, 2]	[1, 1]
As explained in Section 2.2, ASR is performed using the method of McCarthy et al (2004)	[133, 175]	[1, 1]
As in (Foster et al, 2010), this approach works at the level of phrase pairs	[23]	[1]
At each word in the string, the Roark (2001) top-down parser provides access to the weighted set of partial analyses in the beam; the set of complete derivations consistent with these is not immediately accessible, hence additional work is required to calculate such measures	[310, 72]	[1, 1]
Bengoetxea and Gojenola (2010) discuss non-projective dependencies in Basque and show that the pseudo-projective transformation of (Nivre and Nilsson, 2005) improves accuracy for dependency parsing of Basque	[0]	[1]
