query	doc_id	label	similiarity
(6) Similarly to (Collins and Singer, 1999) we used T= 0.95 for all experiments reported here	[8]	[1]	[1.1915092468261719]
(Collins and Singer, 1999) also makes use of competing categories (person, organization, and location), which cover 96% of all the instances it set out to classify	[77]	[1]	[1.2272580862045288]
(Collins and Singer, 1999) further extend the use of classifiers that have mutual constraints by adding terms to AdaBoost which force the classifiers to agree (called Co Boosting)	[174]	[1]	[1.80742347240448]
(Henderson and Brill, 1999) improved their best parser's F-measure of 89.7 to 91.3, using their naive Bayes voting on the Penn TreeBank constituent structures (16% error reduction)	[120]	[1]	[0.40203845500946045]
(Henderson and Brill, 1999) perform parse selection by maximizing the expected precision of the selected parse with respect to the set of parses being combined	[35]	[1]	[0.4558570683002472]
(Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers	[14]	[1]	[0.8853546380996704]
(Mimno et al, 2009) retrieve a list of potential translations simply by selecting a small number N of the most probable words in both languages and then add the Cartesian product of these sets for every topic to a set of candidate translations	[138, 137]	[1, 1]	[1.8301653861999512, 1.1862879991531372]
A LCFRS (Vijay-Shanker et al, 1987) is a tuple G= (N, T, V, P, S ) where N is a finite set of non-terminals with a function dim: N? N that determines the fan-out of each A? N; b) T and V are disjoint finite sets of terminals and variables; c) S? N is the start symbol with dim (S)= 1; d) P is a finite set of rewriting rules A (? 1,..	[90]	[1]	[0.5367235541343689]
A good example of this is the Roark parser (Roark, 2001) which works left-to-right through the sentence, and abjures dynamic programming in favor of a beam search, keeping some large number of possibilities to extend by adding the next word, and then re-pruning	[297]	[1]	[0.7964947819709778]
A moderately larger vocabulary version (4215 tag-word pairs) of this parser achieves 89.8% F-measure on section 0, where the best current result on the testing set is 90.7% (Bod, 2003)	[140]	[1]	[0.34697288274765015]
A study that is closely related to ours is (Goldberg and Tsarfaty, 2008), where a single generative model was proposed for joint morphological segmentation and syntactic parsing for Hebrew	[0, 3, 19, 186, 53]	[1, 1, 1, 1, 1]	[2.0450286865234375, 1.5423930883407593, 1.425485372543335, 1.2133457660675049, 0.608748197555542]
A successful application of voting and of a stacked classifier to constituent parsing followed in (Henderson and Brill, 1999)	[23]	[1]	[0.9779604077339172]
Although the parser only derives projective graphs, the fact that these graphs are labeled allows non-projective dependencies to be captured using the pseudo-projective approach of Nivre and Nilsson (2005) (section 3.4)	[62]	[1]	[0.5704834461212158]
Applications have ranged from domain adaptation of part-of-speech (POS) taggers (Subramanya et al, 2010), unsupervised learning of POS taggers by using bilingual graph-based projections (Das and Petrov, 2011), and shallow semantic parsing for unknown predicates (Das and Smith,2011)	[0, 18]	[1, 1]	[1.7155556678771973, 0.5083490014076233]
As a benchmark VPC extraction system, we use the Charniak parser (Charniak, 2000)	[91, 19]	[1, 1]	[0.325992614030838, 0.764843761920929]
As described in (McDonald et al, 2006), we treat the labeling of dependencies as a sequence labeling problem	[41, 20]	[1, 1]	[1.0691020488739014, 0.32422295212745667]
As described in Ng and Low (2004) and Jiang et al (2008), we use s indicating a single character word, while b, m and e indicating the be gin, middle and end of a word respectively	[25]	[1]	[1.352650761604309]
As explained in Section 2.2, ASR is performed using the method of McCarthy et al (2004)	[133, 29, 175]	[1, 1, 1]	[1.2309496402740479, 1.4094862937927246, 1.6021130084991455]
As in (Foster et al, 2010), this approach works at the level of phrase pairs	[23, 152]	[1, 1]	[0.6265527009963989, 0.30261144042015076]
At each word in the string, the Roark (2001) top-down parser provides access to the weighted set of partial analyses in the beam; the set of complete derivations consistent with these is not immediately accessible, hence additional work is required to calculate such measures	[310, 21, 72]	[1, 1, 1]	[1.1273242235183716, 0.6438190937042236, 1.6075443029403687]
