Citance Number,Reference Article,Citing Article,Citation Marker Offset,Citation Marker,Citation Offset,Citation Text,Citation Text Clean,Reference Offset,Reference Text,Discourse Facet
1,P11-1061,P11-1144,0,2011,0,Subramanya et al? s model was extended by Das and Petrov (2011) to induce part-of-speech dictionaries for unsupervised learning of taggers,Subramanya et al's model was extended by Das and Petrov (2011) to induce part-of-speech dictionaries for unsupervised learning of taggers,"'1','0','6','18','8','158'","<S sid=""1"" ssid=""1"">We describe a novel approach for inducing unsupervised part-of-speech taggers for languages that have no labeled training data, but have translated text in a resource-rich language.</S><S sid=""0"">Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid=""6"" ssid=""2"">Supervised part-of-speech (POS) taggers, for example, approach the level of inter-annotator agreement (Shen et al., 2007, 97.3% accuracy for English).</S><S sid=""18"" ssid=""14"">To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S><S sid=""8"" ssid=""4"">Unsupervised learning approaches appear to be a natural solution to this problem, as they require only unannotated text for training models.</S><S sid=""158"" ssid=""1"">We have shown the efficacy of graph-based label propagation for projecting part-of-speech information across languages.</S>",
3,P11-1061,P14-1126,0,2011,0,"Fortunately, some recently proposed POS taggers, such as the POStagger of Das and Petrov (2011), rely only on labeled training data for English and the same kind of parallel text in our approach","Fortunately, some recently proposed POS taggers, such as the POS tagger of Das and Petrov (2011), rely only on labeled training data for English and the same kind of parallel text in our approach","'24','1','6','7','9','8','160'","<S sid=""24"" ssid=""1"">The focus of this work is on building POS taggers for foreign languages, assuming that we have an English POS tagger and some parallel text between the two languages.</S><S sid=""1"" ssid=""1"">We describe a novel approach for inducing unsupervised part-of-speech taggers for languages that have no labeled training data, but have translated text in a resource-rich language.</S><S sid=""6"" ssid=""2"">Supervised part-of-speech (POS) taggers, for example, approach the level of inter-annotator agreement (Shen et al., 2007, 97.3% accuracy for English).</S><S sid=""7"" ssid=""3"">However, supervised methods rely on labeled training data, which is time-consuming and expensive to generate.</S><S sid=""9"" ssid=""5"">Unfortunately, the best completely unsupervised English POS tagger (that does not make use of a tagging dictionary) reaches only 76.1% accuracy (Christodoulopoulos et al., 2010), making its practical usability questionable at best.</S><S sid=""8"" ssid=""4"">Unsupervised learning approaches appear to be a natural solution to this problem, as they require only unannotated text for training models.</S><S sid=""160"" ssid=""3"">Our results suggest that it is possible to learn accurate POS taggers for languages which do not have any annotated data, but have translations into a resource-rich language.</S>",
4,P11-1061,N12-1086,0,"Das and Petrov, 2011",0,"Applications have ranged from domain adaptation of part-of-speech (POS) taggers (Subramanya et al, 2010), unsupervised learning ofPOS taggers by using bilingual graph-based projections (Das and Petrov, 2011), and shallow semantic parsing for unknown predicates (Das and Smith,2011)","Applications have ranged from domain adaptation of part-of-speech (POS) taggers (Subramanya et al, 2010), unsupervised learning of POS taggers by using bilingual graph-based projections (Das and Petrov, 2011), and shallow semantic parsing for unknown predicates (Das and Smith,2011)","'0','1','6','158','24','160','33'","<S sid=""0"">Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid=""1"" ssid=""1"">We describe a novel approach for inducing unsupervised part-of-speech taggers for languages that have no labeled training data, but have translated text in a resource-rich language.</S><S sid=""6"" ssid=""2"">Supervised part-of-speech (POS) taggers, for example, approach the level of inter-annotator agreement (Shen et al., 2007, 97.3% accuracy for English).</S><S sid=""158"" ssid=""1"">We have shown the efficacy of graph-based label propagation for projecting part-of-speech information across languages.</S><S sid=""24"" ssid=""1"">The focus of this work is on building POS taggers for foreign languages, assuming that we have an English POS tagger and some parallel text between the two languages.</S><S sid=""160"" ssid=""3"">Our results suggest that it is possible to learn accurate POS taggers for languages which do not have any annotated data, but have translations into a resource-rich language.</S><S sid=""33"" ssid=""10"">The POS distributions over the foreign trigram types are used as features to learn a better unsupervised POS tagger (&#167;5).</S>",
5,P11-1061,N12-1086,0,2011,0,"Following Das and Petrov (2011) and Subramanya et al (2010), a similarity score between two trigram types was computed by measuring the cosine similarity between their empirical sentential context statistics","Following Das and Petrov (2011) and Subramanya et al (2010), a similarity score between two trigram types was computed by measuring the cosine similarity between their empirical sentential context statistics","'52','51','28','29','46','47','56','37','49','16'","<S sid=""52"" ssid=""18"">This is similar to stacking the different feature instantiations into long (sparse) vectors and computing the cosine similarity between them.</S><S sid=""51"" ssid=""17"">For each trigram type x2 x3 x4 in a sequence x1 x2 x3 x4 x5, we count how many times that trigram type co-occurs with the different instantiations of each concept, and compute the point-wise mutual information (PMI) between the two.5 The similarity between two trigram types is given by summing over the PMI values over feature instantiations that they have in common.</S><S sid=""28"" ssid=""5"">The edge weights between the foreign language trigrams are computed using a co-occurence based similarity function, designed to indicate how syntactically similar the middle words of the connected trigrams are (&#167;3.2).</S><S sid=""29"" ssid=""6"">To establish a soft correspondence between the two languages, we use a second similarity function, which leverages standard unsupervised word alignment statistics (&#167;3.3).3 Since we have no labeled foreign data, our goal is to project syntactic information from the English side to the foreign side.</S><S sid=""46"" ssid=""12"">We use two different similarity functions to define the edge weights among the foreign vertices and between vertices from different languages.</S><S sid=""47"" ssid=""13"">Our monolingual similarity function (for connecting pairs of foreign trigram types) is the same as the one used by Subramanya et al. (2010).</S><S sid=""56"" ssid=""22"">To define a similarity function between the English and the foreign vertices, we rely on high-confidence word alignments.</S><S sid=""37"" ssid=""3"">Altun et al. (2005) proposed a technique that uses graph based similarity between labeled and unlabeled parts of structured data in a discriminative framework for semi-supervised learning.</S><S sid=""49"" ssid=""15"">We define a symmetric similarity function K(uZ7 uj) over two foreign language vertices uZ7 uj E Vf based on the co-occurrence statistics of the nine feature concepts given in Table 1.</S><S sid=""16"" ssid=""12"">To this end, we construct a bilingual graph over word types to establish a connection between the two languages (&#167;3), and then use graph label propagation to project syntactic information from English to the foreign language (&#167;4).</S>",
6,P11-1061,N12-1086,0,"Das and Petrov, 2011",0,"Sparsity is desirable in settings where labeled development data for tuning thresholds that select the most probable labels for a given type is unavailable (e.g., Das and Petrov, 2011)","Sparsity is desirable in settings where labeled development data for tuning thresholds that select the most probable labels for a given type is unavailable (e.g., Das and Petrov, 2011)","'54','13','134','97','70'","<S sid=""54"" ssid=""20"">Given this similarity function, we define a nearest neighbor graph, where the edge weight for the n most similar vertices is set to the value of the similarity function and to 0 for all other vertices.</S><S sid=""13"" ssid=""9"">(2009) study related but different multilingual grammar and tagger induction tasks, where it is assumed that no labeled data at all is available.</S><S sid=""134"" ssid=""34"">Because we don&#8217;t have a separate development set, we used the training set to select among them and found 0.2 to work slightly better than 0.1 and 0.3.</S><S sid=""97"" ssid=""28"">This formulation of the constraint feature is equivalent to the use of a tagging dictionary extracted from the graph using a threshold T on the posterior distribution of tags for a given word type (Eq.</S><S sid=""70"" ssid=""1"">Given the bilingual graph described in the previous section, we can use label propagation to project the English POS labels to the foreign language.</S>",
7,P11-1061,N12-1052,0,2011,0,"Specifically, by replacing fine-grained language specific part-of-speech tags with universal part-of-speech tags, generated with the method described by Das and Petrov (2011), a universal parser is achieved that can be applied to any language for which universal part-of-speech tags are available. Below, we extend this approach to universal parsing by adding cross-lingual word cluster features","Specifically, by replacing fine-grained language specific part-of-speech tags with universal part-of-speech tags, generated with the method described by Das and Petrov (2011), a universal parser is achieved that can be applied to any language for which universal part-of-speech tags are available. Below, we extend this approach to universal parsing by adding cross-lingual word cluster features","'18','113','1','0','158','6','96','118'","<S sid=""18"" ssid=""14"">To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S><S sid=""113"" ssid=""13"">For each language under consideration, Petrov et al. (2011) provide a mapping A from the fine-grained language specific POS tags in the foreign treebank to the universal POS tags.</S><S sid=""1"" ssid=""1"">We describe a novel approach for inducing unsupervised part-of-speech taggers for languages that have no labeled training data, but have translated text in a resource-rich language.</S><S sid=""0"">Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid=""158"" ssid=""1"">We have shown the efficacy of graph-based label propagation for projecting part-of-speech information across languages.</S><S sid=""6"" ssid=""2"">Supervised part-of-speech (POS) taggers, for example, approach the level of inter-annotator agreement (Shen et al., 2007, 97.3% accuracy for English).</S><S sid=""96"" ssid=""27"">The function A : F &#8212;* C maps from the language specific fine-grained tagset F to the coarser universal tagset C and is described in detail in &#167;6.2: Note that when tx(y) = 1 the feature value is 0 and has no effect on the model, while its value is &#8722;oc when tx(y) = 0 and constrains the HMM&#8217;s state space.</S><S sid=""118"" ssid=""18"">Therefore, the number of fine tags varied across languages for our experiments; however, one could as well have fixed the set of HMM states to be a constant across languages, and created one mapping to the universal POS tagset.</S>",
8,P11-1061,N12-1052,0,2011,0,"We study the impact of using cross-lingual cluster features by comparing the strong delexicalized baseline model of McDonald et al (2011), which only has features derived from universal part-of-speech tags, projected from English with the method of Das and Petrov (2011), to the same model when adding features derived from cross-lingual clusters","We study the impact of using cross-lingual cluster features by comparing the strong delexicalized baseline model of McDonald et al (2011), which only has features derived from universal part-of-speech tags, projected from English with the method of Das and Petrov (2011), to the same model when adding features derived from cross-lingual clusters","'3','18','96','21'","<S sid=""3"" ssid=""3"">We use graph-based label propagation for cross-lingual knowledge transfer and use the projected labels as features in an unsupervised model (Berg- Kirkpatrick et al., 2010).</S><S sid=""18"" ssid=""14"">To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S><S sid=""96"" ssid=""27"">The function A : F &#8212;* C maps from the language specific fine-grained tagset F to the coarser universal tagset C and is described in detail in &#167;6.2: Note that when tx(y) = 1 the feature value is 0 and has no effect on the model, while its value is &#8722;oc when tx(y) = 0 and constrains the HMM&#8217;s state space.</S><S sid=""21"" ssid=""17"">These universal POS categories not only facilitate the transfer of POS information from one language to another, but also relieve us from using controversial evaluation metrics,2 by establishing a direct correspondence between the induced hidden states in the foreign language and the observed English labels.</S>",
9,P11-1061,N12-1090,0,"Das and Petrov, (2011)",0,"MT-based projection has been applied to various NLP tasks, such as part of-speech tagging (e.g., Das and Petrov (2011)), mention detection (e.g., Zitouni and Florian (2008)), and sentiment analysis (e.g., Mihalcea et al (2007)) .There have been two initial attempts to apply projection to create co reference-annotated data for aresource-poor language, both of which involve projecting hand-annotated co reference data from English to Romanian via a parallel corpus","MT-based projection has been applied to various NLP tasks, such as part of-speech tagging (e.g., Das and Petrov (2011)), mention detection (e.g., Zitouni and Florian (2008)), and sentiment analysis (e.g., Mihalcea et al (2007))","'6','0','18','154','158','104','59','1'","<S sid=""6"" ssid=""2"">Supervised part-of-speech (POS) taggers, for example, approach the level of inter-annotator agreement (Shen et al., 2007, 97.3% accuracy for English).</S><S sid=""0"">Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid=""18"" ssid=""14"">To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S><S sid=""154"" ssid=""17"">While the first three models get three to four tags wrong, our best model gets only one word wrong and is the most accurate among the four models for this example.</S><S sid=""158"" ssid=""1"">We have shown the efficacy of graph-based label propagation for projecting part-of-speech information across languages.</S><S sid=""104"" ssid=""4"">For monolingual treebank data we relied on the CoNLL-X and CoNLL-2007 shared tasks on dependency parsing (Buchholz and Marsi, 2006; Nivre et al., 2007).</S><S sid=""59"" ssid=""25"">So far the graph has been completely unlabeled.</S><S sid=""1"" ssid=""1"">We describe a novel approach for inducing unsupervised part-of-speech taggers for languages that have no labeled training data, but have translated text in a resource-rich language.</S>",
10,P11-1061,W11-2205,0,2011,0,"For example, the multilingual PoS induction approach of Das and Petrov (2011) assumes no supervision for the language whose PoS tags are being 35 induced, but it assumes access to a labeled dataset of a different language. We begin by surveying recent work on unsupervised PoS tagging, focusing on the issue of evaluation (Section 2)","For example, the multilingual PoS induction approach of Das and Petrov (2011) assumes no supervision for the language whose PoS tags are being 35 induced, but it assumes access to a labeled dataset of a different language. We begin by surveying recent work on unsupervised PoS tagging, focusing on the issue of evaluation (Section 2)","'21','23','13','24','70','6','114'","<S sid=""21"" ssid=""17"">These universal POS categories not only facilitate the transfer of POS information from one language to another, but also relieve us from using controversial evaluation metrics,2 by establishing a direct correspondence between the induced hidden states in the foreign language and the observed English labels.</S><S sid=""23"" ssid=""19"">Our final average POS tagging accuracy of 83.4% compares very favorably to the average accuracy of Berg-Kirkpatrick et al.&#8217;s monolingual unsupervised state-of-the-art model (73.0%), and considerably bridges the gap to fully supervised POS tagging performance (96.6%).</S><S sid=""13"" ssid=""9"">(2009) study related but different multilingual grammar and tagger induction tasks, where it is assumed that no labeled data at all is available.</S><S sid=""24"" ssid=""1"">The focus of this work is on building POS taggers for foreign languages, assuming that we have an English POS tagger and some parallel text between the two languages.</S><S sid=""70"" ssid=""1"">Given the bilingual graph described in the previous section, we can use label propagation to project the English POS labels to the foreign language.</S><S sid=""6"" ssid=""2"">Supervised part-of-speech (POS) taggers, for example, approach the level of inter-annotator agreement (Shen et al., 2007, 97.3% accuracy for English).</S><S sid=""114"" ssid=""14"">The supervised POS tagging accuracies (on this tagset) are shown in the last row of Table 2.</S>",
11,P11-1061,P13-1155,0,"Das and Petrov, 2011",0,"(Das and Petrov, 2011) used graph-based label propagation for cross-lingual knowledge transfers to induce POS tags between two languages","(Das and Petrov, 2011) used graph-based label propagation for cross-lingual knowledge transfers to induce POS tags between two languages","'3','16','124','72','24','71','70'","<S sid=""3"" ssid=""3"">We use graph-based label propagation for cross-lingual knowledge transfer and use the projected labels as features in an unsupervised model (Berg- Kirkpatrick et al., 2010).</S><S sid=""16"" ssid=""12"">To this end, we construct a bilingual graph over word types to establish a connection between the two languages (&#167;3), and then use graph label propagation to project syntactic information from English to the foreign language (&#167;4).</S><S sid=""124"" ssid=""24"">We tried two versions of our graph-based approach: feature after the first stage of label propagation (Eq.</S><S sid=""72"" ssid=""3"">In the first stage, we run a single step of label propagation, which transfers the label distributions from the English vertices to the connected foreign language vertices (say, Vf&#65533;) at the periphery of the graph.</S><S sid=""24"" ssid=""1"">The focus of this work is on building POS taggers for foreign languages, assuming that we have an English POS tagger and some parallel text between the two languages.</S><S sid=""71"" ssid=""2"">We use label propagation in two stages to generate soft labels on all the vertices in the graph.</S><S sid=""70"" ssid=""1"">Given the bilingual graph described in the previous section, we can use label propagation to project the English POS labels to the foreign language.</S>",
